genotype,concentration,length
Se-0,0.06,9.42
Chi-0,0.06,7.74
Ms-0-1,0.06,5.14
Col-0,0.06,8.73
hy5,0.06,6.02
Kas-1-1,0,8.51
Se-0,0,16.5
Chi-0,0,11.38
Ms-0-1,0,10.55
Col-0,0,12.66
hy5,0,10.29
Kas-1-1,217,NA
Se-0,217,1.24
Chi-0,217,1.03
Ms-0-1,217,1.34
Col-0,217,0.92
hy5,217,0.96
Kas-1-1,123,1.3
Se-0,123,2.19
Chi-0,123,1.03
Ms-0-1,123,1.37
Col-0,123,1.27
hy5,123,3.45
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,3.53
Ms-0-1,29,4.06
Col-0,29,7.15
hy5,29,7.2
Kas-1-1,5.6,10.17
Se-0,5.6,10.17
Chi-0,5.6,5.13
Ms-0-1,5.6,5.33
Col-0,5.6,9.42
hy5,5.6,4.16
Kas-1-1,2.2,8.7
Se-0,2.2,9.13
Chi-0,2.2,5.5
Ms-0-1,2.2,5.13
Col-0,2.2,7.24
hy5,2.2,4.46
Kas-1-1,0.4,7.73
Se-0,0.4,9.71
Chi-0,0.4,7.63
Ms-0-1,0.4,6.57
Col-0,0.4,6.72
hy5,0.4,7.24
Kas-1-1,0.06,7.31
Se-0,0.06,9.14
Chi-0,0.06,6.79
Ms-0-1,0.06,7.63
Col-0,0.06,9.36
hy5,0.06,5.99
Kas-1-1,0,12.05
Se-0,0,7.67
Chi-0,0,10.69
Ms-0-1,0,10.84
Col-0,0,9.72
hy5,0,7.98
Kas-1-1,217,NA
Se-0,217,1.33
Chi-0,217,1
Ms-0-1,217,1.34
Col-0,217,0.94
hy5,217,1.15
Kas-1-1,123,1.36
Se-0,123,2.48
Chi-0,123,0.93
Ms-0-1,123,1.34
Col-0,123,1.07
hy5,123,3.23
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,2.62
Ms-0-1,29,3.38
Col-0,29,6.1
hy5,29,7.95
Kas-1-1,5.6,12.59
Se-0,5.6,8.45
Chi-0,5.6,4.71
Ms-0-1,5.6,3.44
Col-0,5.6,8.76
hy5,5.6,5.48
Kas-1-1,2.2,8.51
Se-0,2.2,7.68
Chi-0,2.2,6.06
Ms-0-1,2.2,4.56
Col-0,2.2,7.09
hy5,2.2,4.07
Kas-1-1,0.4,8.44
Se-0,0.4,8.31
Chi-0,0.4,5.53
Ms-0-1,0.4,6.11
Col-0,0.4,8.75
hy5,0.4,6.54
Kas-1-1,0.06,7.95
Se-0,0.06,9.15
Chi-0,0.06,9.31
Ms-0-1,0.06,7.12
Col-0,0.06,12.15
hy5,0.06,4.67
Kas-1-1,0,NA
Se-0,0,9.45
Chi-0,0,9.24
Ms-0-1,0,12.23
Col-0,0,10.01
hy5,0,11.61
Kas-1-1,217,NA
Se-0,217,1.32
Chi-0,217,0.58
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,1.13
Kas-1-1,123,NA
Se-0,123,3.32
Chi-0,123,0.98
Ms-0-1,123,1.44
Col-0,123,1.32
hy5,123,1.73
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,3.1
Ms-0-1,29,4.05
Col-0,29,7.18
hy5,29,7.98
Kas-1-1,5.6,8.25
Se-0,5.6,9.32
Chi-0,5.6,5.33
Ms-0-1,5.6,4.5
Col-0,5.6,5.7
hy5,5.6,2.37
Kas-1-1,2.2,8.22
Se-0,2.2,6.37
Chi-0,2.2,5.69
Ms-0-1,2.2,5.4
Col-0,2.2,7.32
hy5,2.2,4.6
Kas-1-1,0.4,8.23
Se-0,0.4,9.17
Chi-0,0.4,6.78
Ms-0-1,0.4,6.55
Col-0,0.4,5.82
hy5,0.4,8.14
Kas-1-1,0.06,9.58
Se-0,0.06,7.87
Chi-0,0.06,7.48
Ms-0-1,0.06,7.67
Col-0,0.06,7.65
hy5,0.06,7.9
Kas-1-1,0,NA
Se-0,0,6.48
Chi-0,0,9.44
Ms-0-1,0,11.88
Col-0,0,13.64
hy5,0,8.48
Kas-1-1,217,NA
Se-0,217,1.21
Chi-0,217,1.04
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,0.88
Kas-1-1,123,NA
Se-0,123,2.9
Chi-0,123,0.82
Ms-0-1,123,0.93
Col-0,123,1.53
hy5,123,2.86
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,3.43
Ms-0-1,29,3.62
Col-0,29,6.11
hy5,29,5.07
Kas-1-1,5.6,5.81
Se-0,5.6,9.22
Chi-0,5.6,5.87
Ms-0-1,5.6,3.73
Col-0,5.6,6.83
hy5,5.6,5
Kas-1-1,2.2,9.48
Se-0,2.2,6.15
Chi-0,2.2,5.6
Ms-0-1,2.2,5.11
Col-0,2.2,7.79
hy5,2.2,3.97
Kas-1-1,0.4,8.77
Se-0,0.4,5.19
Chi-0,0.4,7.99
Ms-0-1,0.4,5.03
Col-0,0.4,8.61
hy5,0.4,5.53
Kas-1-1,0.06,9.44
Se-0,0.06,11.15
Chi-0,0.06,7.55
Ms-0-1,0.06,4.02
Col-0,0.06,10.98
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,12.22
Col-0,0,14.48
hy5,0,11.46
Kas-1-1,217,NA
Se-0,217,1.12
Chi-0,217,0.94
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,0.81
Kas-1-1,123,NA
Se-0,123,2.76
Chi-0,123,1.6
Ms-0-1,123,1.16
Col-0,123,1.38
hy5,123,2.88
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,2.6
Ms-0-1,29,4.27
Col-0,29,6.36
hy5,29,8.68
Kas-1-1,5.6,11
Se-0,5.6,NA
Chi-0,5.6,4.72
Ms-0-1,5.6,3.92
Col-0,5.6,7.83
hy5,5.6,5.35
Kas-1-1,2.2,6.41
Se-0,2.2,7.11
Chi-0,2.2,5.67
Ms-0-1,2.2,2.41
Col-0,2.2,6.86
hy5,2.2,5.31
Kas-1-1,0.4,6.37
Se-0,0.4,NA
Chi-0,0.4,7.1
Ms-0-1,0.4,6.01
Col-0,0.4,7.88
hy5,0.4,4.86
Kas-1-1,0.06,9.56
Se-0,0.06,9.01
Chi-0,0.06,6.88
Ms-0-1,0.06,7.61
Col-0,0.06,8.92
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,9.59
Col-0,0,14.14
hy5,0,NA
Kas-1-1,217,NA
Se-0,217,NA
Chi-0,217,NA
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,1.05
Kas-1-1,123,NA
Se-0,123,3.23
Chi-0,123,NA
Ms-0-1,123,1.69
Col-0,123,1.63
hy5,123,2.34
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,3.04
Ms-0-1,29,4.03
Col-0,29,2.88
hy5,29,7.86
Kas-1-1,5.6,9.18
Se-0,5.6,NA
Chi-0,5.6,5.61
Ms-0-1,5.6,2.71
Col-0,5.6,6.13
hy5,5.6,4.71
Kas-1-1,2.2,7.5
Se-0,2.2,10.35
Chi-0,2.2,3.3
Ms-0-1,2.2,5.13
Col-0,2.2,6.11
hy5,2.2,4.07
Kas-1-1,0.4,5.78
Se-0,0.4,NA
Chi-0,0.4,5.98
Ms-0-1,0.4,7.91
Col-0,0.4,8.42
hy5,0.4,NA
Kas-1-1,0.06,9.7
Se-0,0.06,7.27
Chi-0,0.06,6.24
Ms-0-1,0.06,9.73
Col-0,0.06,7.74
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,12.77
Col-0,0,12.94
hy5,0,NA
Kas-1-1,217,NA
Se-0,217,NA
Chi-0,217,NA
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,0.78
Kas-1-1,123,NA
Se-0,123,1.92
Chi-0,123,NA
Ms-0-1,123,0.96
Col-0,123,1.3
hy5,123,NA
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,3.1
Ms-0-1,29,3.56
Col-0,29,5.71
hy5,29,8.55
Kas-1-1,5.6,7.54
Se-0,5.6,NA
Chi-0,5.6,5.83
Ms-0-1,5.6,3.76
Col-0,5.6,7.97
hy5,5.6,5.13
Kas-1-1,2.2,11.12
Se-0,2.2,NA
Chi-0,2.2,3.86
Ms-0-1,2.2,4.22
Col-0,2.2,6.69
hy5,2.2,NA
Kas-1-1,0.4,9.31
Se-0,0.4,NA
Chi-0,0.4,7.97
Ms-0-1,0.4,5.44
Col-0,0.4,8.41
hy5,0.4,NA
Kas-1-1,0.06,9.49
Se-0,0.06,8.99
Chi-0,0.06,3.44
Ms-0-1,0.06,6.09
Col-0,0.06,NA
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,11.79
Col-0,0,12.25
hy5,0,NA
Kas-1-1,217,NA
Se-0,217,NA
Chi-0,217,NA
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,NA
Kas-1-1,123,NA
Se-0,123,2.91
Chi-0,123,NA
Ms-0-1,123,NA
Col-0,123,1.16
hy5,123,NA
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,2.43
Ms-0-1,29,4.12
Col-0,29,NA
hy5,29,8.75
Kas-1-1,5.6,NA
Se-0,5.6,NA
Chi-0,5.6,5.84
Ms-0-1,5.6,4.44
Col-0,5.6,6.27
hy5,5.6,NA
Kas-1-1,2.2,9.55
Se-0,2.2,NA
Chi-0,2.2,NA
Ms-0-1,2.2,3.65
Col-0,2.2,5.7
hy5,2.2,NA
Kas-1-1,0.4,7.83
Se-0,0.4,NA
Chi-0,0.4,5.42
Ms-0-1,0.4,5.86
Col-0,0.4,8.69
hy5,0.4,NA
Kas-1-1,0.06,14.59
Se-0,0.06,5.33
Chi-0,0.06,7.91
Ms-0-1,0.06,7.06
Col-0,0.06,NA
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,13.3
Col-0,0,13.61
hy5,0,NA
Kas-1-1,217,NA
Se-0,217,NA
Chi-0,217,NA
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,NA
Kas-1-1,123,NA
Se-0,123,NA
Chi-0,123,NA
Ms-0-1,123,NA
Col-0,123,1.59
hy5,123,NA
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,2.9
Ms-0-1,29,3.74
Col-0,29,NA
hy5,29,10.99
Kas-1-1,5.6,NA
Se-0,5.6,NA
Chi-0,5.6,NA
Ms-0-1,5.6,3.02
Col-0,5.6,NA
hy5,5.6,NA
Kas-1-1,2.2,7.56
Se-0,2.2,NA
Chi-0,2.2,NA
Ms-0-1,2.2,5.79
Col-0,2.2,6.87
hy5,2.2,NA
Kas-1-1,0.4,6.76
Se-0,0.4,NA
Chi-0,0.4,4.29
Ms-0-1,0.4,6.36
Col-0,0.4,7.43
hy5,0.4,NA
Kas-1-1,0.06,8.35
Se-0,0.06,NA
Chi-0,0.06,7.01
Ms-0-1,0.06,6.81
Col-0,0.06,NA
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,12.47
Col-0,0,10.42
hy5,0,NA
Kas-1-1,217,NA
Se-0,217,NA
Chi-0,217,NA
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,NA
Kas-1-1,123,NA
Se-0,123,NA
Chi-0,123,NA
Ms-0-1,123,NA
Col-0,123,0.95
hy5,123,NA
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,3.56
Ms-0-1,29,NA
Col-0,29,NA
hy5,29,7.32
Kas-1-1,5.6,NA
Se-0,5.6,NA
Chi-0,5.6,NA
Ms-0-1,5.6,NA
Col-0,5.6,NA
hy5,5.6,NA
Kas-1-1,2.2,9.63
Se-0,2.2,NA
Chi-0,2.2,NA
Ms-0-1,2.2,5.85
Col-0,2.2,NA
hy5,2.2,NA
Kas-1-1,0.4,8.01
Se-0,0.4,NA
Chi-0,0.4,7.38
Ms-0-1,0.4,6.24
Col-0,0.4,6.58
hy5,0.4,NA
Kas-1-1,0.06,9.56
Se-0,0.06,NA
Chi-0,0.06,7.34
Ms-0-1,0.06,7.61
Col-0,0.06,NA
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,12.46
Col-0,0,9.98
hy5,0,NA
Kas-1-1,217,NA
Se-0,217,NA
Chi-0,217,NA
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,NA
Kas-1-1,123,NA
Se-0,123,NA
Chi-0,123,NA
Ms-0-1,123,NA
Col-0,123,1.2
hy5,123,NA
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,2.99
Ms-0-1,29,NA
Col-0,29,NA
hy5,29,8.32
Kas-1-1,5.6,NA
Se-0,5.6,NA
Chi-0,5.6,NA
Ms-0-1,5.6,NA
Col-0,5.6,NA
hy5,5.6,NA
Kas-1-1,2.2,8.48
Se-0,2.2,NA
Chi-0,2.2,NA
Ms-0-1,2.2,5.15
Col-0,2.2,NA
hy5,2.2,NA
Kas-1-1,0.4,5.79
Se-0,0.4,NA
Chi-0,0.4,4.76
Ms-0-1,0.4,6.84
Col-0,0.4,7.11
